"PAST 12 MOS, TIME WITH NO JOB","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"Overall","Overall","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","274487000","N/A","1650000"
"1 - Yes","Overall","0.076","0.0011","0.074","0.078","1","0","N/A","N/A","0.076","0.0011","0.074","0.078","20748000","N/A","319000"
"2 - No","Overall","0.502","0.0023","0.498","0.507","1","0","N/A","N/A","0.502","0.0023","0.498","0.507","137924000","N/A","1073000"
"85 - BAD DATA Logically assigned","Overall","0","0.0001","0","0","1","0","N/A","N/A","0","0.0001","0","0","53000","N/A","14000"
"94 - DON T KNOW","Overall","0.001","0.0001","0.001","0.001","1","0","N/A","N/A","0.001","0.0001","0.001","0.001","206000","N/A","27000"
"97 - REFUSED","Overall","0.008","0.0004","0.008","0.009","1","0","N/A","N/A","0.008","0.0004","0.008","0.009","2329000","N/A","116000"
"98 - BLANK","Overall","0.004","0.0002","0.003","0.004","1","0","N/A","N/A","0.004","0.0002","0.003","0.004","976000","N/A","64000"
"99 - LEGITIMATE SKIP","Overall","0.409","0.0024","0.404","0.414","1","0","N/A","N/A","0.409","0.0024","0.404","0.414","112251000","N/A","918000"
"Overall","AK","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","585000","N/A","20000"
"1 - Yes","AK","0","0","0","0","0.003","0.0003","0.002","0.003","0.097","0.0098","0.079","0.118","56000","N/A","6000"
"2 - No","AK","0.001","0.0001","0.001","0.001","0.002","0.0001","0.002","0.002","0.504","0.0161","0.473","0.536","295000","N/A","14000"
"85 - BAD DATA Logically assigned","AK","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"94 - DON T KNOW","AK","0","0","0","0","0","0.0003","0","0.002","0","0.0001","0","0.001","0","N/A","0"
"97 - REFUSED","AK","0","0","0","0","0.002","0.0004","0.001","0.003","0.006","0.0016","0.004","0.01","4000","N/A","1000"
"98 - BLANK","AK","0","0","0","0","0.003","0.0013","0.001","0.007","0.005","0.0022","0.002","0.012","3000","N/A","1000"
"99 - LEGITIMATE SKIP","AK","0.001","0","0.001","0.001","0.002","0.0001","0.002","0.002","0.388","0.0167","0.355","0.421","227000","N/A","12000"
"Overall","AL","0.015","0.0007","0.014","0.016","0.015","0.0007","0.014","0.016","1","0","N/A","N/A","4101000","N/A","183000"
"1 - Yes","AL","0.001","0.0001","0.001","0.001","0.011","0.001","0.009","0.013","0.056","0.0055","0.046","0.068","231000","N/A","21000"
"2 - No","AL","0.007","0.0004","0.006","0.008","0.014","0.0008","0.012","0.016","0.464","0.0176","0.43","0.499","1903000","N/A","115000"
"85 - BAD DATA Logically assigned","AL","0","0","0","0","0.016","0.0162","0.002","0.11","0","0.0002","0","0.001","1000","N/A","1000"
"94 - DON T KNOW","AL","0","0","0","0","0.026","0.0137","0.009","0.072","0.001","0.0007","0","0.004","5000","N/A","3000"
"97 - REFUSED","AL","0","0","0","0","0.011","0.005","0.005","0.027","0.007","0.0029","0.003","0.015","27000","N/A","12000"
"98 - BLANK","AL","0","0","0","0","0.015","0.0067","0.006","0.036","0.004","0.0016","0.001","0.009","14000","N/A","7000"
"99 - LEGITIMATE SKIP","AL","0.007","0.0004","0.006","0.008","0.017","0.001","0.015","0.019","0.468","0.0185","0.432","0.504","1920000","N/A","118000"
"Overall","AR","0.009","0.0003","0.008","0.01","0.009","0.0003","0.008","0.01","1","0","N/A","N/A","2499000","N/A","93000"
"1 - Yes","AR","0.001","0.0001","0.001","0.001","0.008","0.0009","0.007","0.01","0.068","0.007","0.056","0.083","170000","N/A","18000"
"2 - No","AR","0.004","0.0002","0.004","0.005","0.009","0.0004","0.008","0.009","0.472","0.0161","0.441","0.504","1180000","N/A","60000"
"85 - BAD DATA Logically assigned","AR","0","0","0","0","0.046","0.0335","0.011","0.178","0.001","0.0007","0","0.004","2000","N/A","2000"
"94 - DON T KNOW","AR","0","0","0","0","0.001","0.0009","0","0.006","0","0.0001","0","0.001","0","N/A","0"
"97 - REFUSED","AR","0","0","0","0","0.004","0.0014","0.002","0.008","0.004","0.0013","0.002","0.007","9000","N/A","3000"
"98 - BLANK","AR","0","0","0","0","0.007","0.0026","0.003","0.014","0.003","0.001","0.001","0.005","7000","N/A","2000"
"99 - LEGITIMATE SKIP","AR","0.004","0.0002","0.004","0.005","0.01","0.0005","0.009","0.011","0.452","0.0157","0.422","0.483","1130000","N/A","58000"
"Overall","AZ","0.022","0.0015","0.019","0.025","0.022","0.0015","0.019","0.025","1","0","N/A","N/A","6042000","N/A","425000"
"1 - Yes","AZ","0.002","0.0004","0.001","0.003","0.027","0.0048","0.019","0.038","0.093","0.0147","0.068","0.126","564000","N/A","102000"
"2 - No","AZ","0.01","0.0008","0.008","0.011","0.019","0.0016","0.017","0.023","0.444","0.0223","0.401","0.488","2683000","N/A","221000"
"85 - BAD DATA Logically assigned","AZ","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"94 - DON T KNOW","AZ","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"97 - REFUSED","AZ","0","0.0001","0","0.001","0.037","0.0116","0.02","0.068","0.014","0.0044","0.008","0.026","87000","N/A","28000"
"98 - BLANK","AZ","0","0","0","0","0.025","0.0092","0.012","0.051","0.004","0.0015","0.002","0.008","24000","N/A","9000"
"99 - LEGITIMATE SKIP","AZ","0.01","0.0008","0.008","0.012","0.024","0.0021","0.02","0.028","0.444","0.0227","0.4","0.489","2684000","N/A","234000"
"Overall","CA","0.121","0.0023","0.116","0.125","0.121","0.0023","0.116","0.125","1","0","N/A","N/A","33110000","N/A","679000"
"1 - Yes","CA","0.01","0.0005","0.009","0.011","0.134","0.0057","0.123","0.145","0.084","0.0035","0.077","0.091","2773000","N/A","130000"
"2 - No","CA","0.059","0.0015","0.056","0.062","0.117","0.0029","0.111","0.122","0.486","0.0079","0.471","0.502","16104000","N/A","427000"
"85 - BAD DATA Logically assigned","CA","0","0","0","0","0.071","0.0682","0.01","0.368","0","0.0001","0","0.001","4000","N/A","4000"
"94 - DON T KNOW","CA","0","0.0001","0","0","0.2","0.0618","0.105","0.348","0.001","0.0004","0.001","0.003","41000","N/A","15000"
"97 - REFUSED","CA","0.001","0.0002","0.001","0.002","0.151","0.018","0.119","0.19","0.011","0.0014","0.008","0.014","352000","N/A","46000"
"98 - BLANK","CA","0.001","0.0001","0","0.001","0.152","0.0245","0.11","0.207","0.004","0.0008","0.003","0.006","149000","N/A","26000"
"99 - LEGITIMATE SKIP","CA","0.05","0.0013","0.047","0.053","0.122","0.0032","0.116","0.128","0.413","0.008","0.398","0.429","13688000","N/A","382000"
"Overall","CO","0.018","0.0009","0.016","0.019","0.018","0.0009","0.016","0.019","1","0","N/A","N/A","4806000","N/A","245000"
"1 - Yes","CO","0.002","0.0001","0.001","0.002","0.022","0.0019","0.018","0.026","0.094","0.008","0.08","0.111","454000","N/A","40000"
"2 - No","CO","0.01","0.0006","0.009","0.011","0.019","0.0012","0.017","0.022","0.553","0.0181","0.517","0.588","2656000","N/A","170000"
"85 - BAD DATA Logically assigned","CO","0","0","0","0","0.058","0.0566","0.008","0.32","0.001","0.0006","0","0.004","3000","N/A","3000"
"94 - DON T KNOW","CO","0","0","0","0","0.017","0.0118","0.004","0.065","0.001","0.0005","0","0.003","3000","N/A","2000"
"97 - REFUSED","CO","0","0","0","0","0.011","0.0045","0.005","0.024","0.006","0.0021","0.003","0.012","27000","N/A","10000"
"98 - BLANK","CO","0","0","0","0","0.011","0.0055","0.004","0.029","0.002","0.0011","0.001","0.006","11000","N/A","5000"
"99 - LEGITIMATE SKIP","CO","0.006","0.0004","0.005","0.007","0.015","0.0011","0.013","0.017","0.344","0.0189","0.308","0.382","1651000","N/A","122000"
"Overall","CT","0.011","0.0005","0.01","0.012","0.011","0.0005","0.01","0.012","1","0","N/A","N/A","3060000","N/A","137000"
"1 - Yes","CT","0.001","0.0001","0.001","0.001","0.011","0.0014","0.009","0.014","0.076","0.0089","0.06","0.095","232000","N/A","29000"
"2 - No","CT","0.006","0.0003","0.005","0.007","0.012","0.0007","0.011","0.014","0.55","0.0206","0.509","0.59","1683000","N/A","96000"
"85 - BAD DATA Logically assigned","CT","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"94 - DON T KNOW","CT","0","0","0","0","0.006","0.0047","0.001","0.027","0","0.0003","0","0.002","1000","N/A","1000"
"97 - REFUSED","CT","0","0","0","0","0.006","0.002","0.003","0.011","0.004","0.0016","0.002","0.009","13000","N/A","5000"
"98 - BLANK","CT","0","0","0","0","0.011","0.0045","0.005","0.025","0.004","0.0014","0.002","0.008","11000","N/A","4000"
"99 - LEGITIMATE SKIP","CT","0.004","0.0003","0.004","0.005","0.01","0.0007","0.009","0.011","0.366","0.0188","0.33","0.403","1119000","N/A","79000"
"Overall","DC","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","598000","N/A","29000"
"1 - Yes","DC","0","0","0","0","0.002","0.0003","0.002","0.003","0.084","0.0095","0.067","0.105","50000","N/A","6000"
"2 - No","DC","0.001","0.0001","0.001","0.001","0.003","0.0001","0.002","0.003","0.584","0.0167","0.551","0.616","349000","N/A","20000"
"85 - BAD DATA Logically assigned","DC","0","0","0","0","0.005","0.005","0.001","0.036","0","0.0004","0","0.003","0","N/A","0"
"94 - DON T KNOW","DC","0","0","0","0","0","0.0002","0","0.001","0","0.0001","0","0","0","N/A","0"
"97 - REFUSED","DC","0","0","0","0","0.001","0.0007","0.001","0.004","0.005","0.0026","0.002","0.014","3000","N/A","2000"
"98 - BLANK","DC","0","0","0","0","0.002","0.0009","0.001","0.005","0.004","0.0015","0.002","0.008","2000","N/A","1000"
"99 - LEGITIMATE SKIP","DC","0.001","0","0.001","0.001","0.002","0.0001","0.002","0.002","0.322","0.0155","0.292","0.353","192000","N/A","12000"
"Overall","DE","0.003","0.0002","0.003","0.003","0.003","0.0002","0.003","0.003","1","0","N/A","N/A","822000","N/A","45000"
"1 - Yes","DE","0","0","0","0","0.003","0.0004","0.003","0.004","0.083","0.0081","0.068","0.1","68000","N/A","8000"
"2 - No","DE","0.002","0.0001","0.001","0.002","0.003","0.0002","0.003","0.003","0.51","0.0165","0.477","0.542","419000","N/A","28000"
"85 - BAD DATA Logically assigned","DE","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"94 - DON T KNOW","DE","0","0","0","0","0.006","0.0048","0.001","0.028","0.001","0.0012","0","0.007","1000","N/A","1000"
"97 - REFUSED","DE","0","0","0","0","0.002","0.0007","0.001","0.004","0.004","0.0019","0.002","0.01","4000","N/A","2000"
"98 - BLANK","DE","0","0","0","0","0.002","0.0009","0.001","0.005","0.002","0.001","0.001","0.005","2000","N/A","1000"
"99 - LEGITIMATE SKIP","DE","0.001","0.0001","0.001","0.001","0.003","0.0002","0.003","0.003","0.399","0.0153","0.37","0.43","328000","N/A","20000"
"Overall","FL","0.067","0.0019","0.063","0.071","0.067","0.0019","0.063","0.071","1","0","N/A","N/A","18293000","N/A","544000"
"1 - Yes","FL","0.005","0.0003","0.004","0.005","0.061","0.0038","0.054","0.069","0.069","0.0042","0.062","0.078","1267000","N/A","80000"
"2 - No","FL","0.031","0.0011","0.029","0.033","0.062","0.0022","0.058","0.066","0.467","0.0119","0.444","0.491","8546000","N/A","317000"
"85 - BAD DATA Logically assigned","FL","0","0","0","0","0.01","0.0103","0.001","0.072","0","0","0","0","1000","N/A","1000"
"94 - DON T KNOW","FL","0","0","0","0","0.052","0.0241","0.021","0.126","0.001","0.0003","0","0.001","11000","N/A","5000"
"97 - REFUSED","FL","0.001","0.0002","0.001","0.001","0.114","0.0169","0.084","0.151","0.014","0.0023","0.011","0.02","265000","N/A","43000"
"98 - BLANK","FL","0","0.0001","0","0","0.064","0.0158","0.039","0.102","0.003","0.0008","0.002","0.006","62000","N/A","15000"
"99 - LEGITIMATE SKIP","FL","0.03","0.0013","0.027","0.032","0.073","0.003","0.067","0.079","0.445","0.0122","0.421","0.469","8142000","N/A","350000"
"Overall","GA","0.032","0.0011","0.03","0.034","0.032","0.0011","0.03","0.034","1","0","N/A","N/A","8732000","N/A","317000"
"1 - Yes","GA","0.002","0.0002","0.002","0.003","0.032","0.0025","0.027","0.037","0.076","0.0057","0.065","0.088","663000","N/A","53000"
"2 - No","GA","0.015","0.0008","0.014","0.017","0.03","0.0015","0.027","0.033","0.473","0.015","0.444","0.503","4132000","N/A","214000"
"85 - BAD DATA Logically assigned","GA","0","0","0","0","0.208","0.1443","0.045","0.595","0.001","0.0011","0","0.007","11000","N/A","9000"
"94 - DON T KNOW","GA","0","0","0","0","0.07","0.0433","0.02","0.217","0.002","0.0011","0","0.006","14000","N/A","9000"
"97 - REFUSED","GA","0","0.0001","0","0","0.025","0.0065","0.015","0.042","0.007","0.0018","0.004","0.011","58000","N/A","15000"
"98 - BLANK","GA","0","0.0001","0","0","0.043","0.0212","0.016","0.11","0.005","0.0024","0.002","0.013","42000","N/A","21000"
"99 - LEGITIMATE SKIP","GA","0.014","0.0007","0.013","0.015","0.034","0.0016","0.031","0.037","0.437","0.0155","0.406","0.467","3812000","N/A","185000"
"Overall","HI","0.004","0.0002","0.004","0.005","0.004","0.0002","0.004","0.005","1","0","N/A","N/A","1156000","N/A","59000"
"1 - Yes","HI","0","0","0","0","0.003","0.0003","0.003","0.004","0.056","0.0055","0.046","0.068","65000","N/A","7000"
"2 - No","HI","0.002","0.0001","0.002","0.002","0.004","0.0003","0.004","0.005","0.481","0.015","0.452","0.511","556000","N/A","36000"
"85 - BAD DATA Logically assigned","HI","0","0","0","0","0.004","0.0042","0.001","0.03","0","0.0002","0","0.001","0","N/A","0"
"94 - DON T KNOW","HI","0","0","0","0","0.005","0.0027","0.002","0.014","0.001","0.0005","0","0.002","1000","N/A","1000"
"97 - REFUSED","HI","0","0","0","0","0.011","0.0013","0.008","0.013","0.021","0.0027","0.016","0.027","24000","N/A","3000"
"98 - BLANK","HI","0","0","0","0","0.009","0.0036","0.004","0.02","0.008","0.003","0.004","0.017","9000","N/A","3000"
"99 - LEGITIMATE SKIP","HI","0.002","0.0001","0.002","0.002","0.004","0.0003","0.004","0.005","0.433","0.0163","0.401","0.465","500000","N/A","31000"
"Overall","IA","0.01","0.0004","0.009","0.01","0.01","0.0004","0.009","0.01","1","0","N/A","N/A","2632000","N/A","119000"
"1 - Yes","IA","0.001","0.0001","0.001","0.001","0.01","0.001","0.008","0.012","0.079","0.0082","0.064","0.096","207000","N/A","21000"
"2 - No","IA","0.006","0.0003","0.005","0.006","0.011","0.0007","0.01","0.012","0.579","0.0179","0.544","0.614","1524000","N/A","91000"
"85 - BAD DATA Logically assigned","IA","0","0","0","0","0.033","0.0335","0.005","0.209","0.001","0.0007","0","0.005","2000","N/A","2000"
"94 - DON T KNOW","IA","0","0","0","0","0.001","0.0014","0","0.01","0","0.0001","0","0.001","0","N/A","0"
"97 - REFUSED","IA","0","0","0","0","0.003","0.0013","0.002","0.007","0.003","0.0012","0.001","0.007","8000","N/A","3000"
"98 - BLANK","IA","0","0","0","0","0.005","0.0019","0.002","0.011","0.002","0.0007","0.001","0.004","5000","N/A","2000"
"99 - LEGITIMATE SKIP","IA","0.003","0.0002","0.003","0.004","0.008","0.0005","0.007","0.009","0.336","0.017","0.304","0.371","886000","N/A","58000"
"Overall","ID","0.005","0.0002","0.005","0.006","0.005","0.0002","0.005","0.006","1","0","N/A","N/A","1458000","N/A","61000"
"1 - Yes","ID","0","0","0","0.001","0.006","0.0006","0.005","0.007","0.081","0.0079","0.067","0.098","119000","N/A","13000"
"2 - No","ID","0.003","0.0001","0.002","0.003","0.005","0.0003","0.005","0.006","0.517","0.0171","0.483","0.55","753000","N/A","39000"
"85 - BAD DATA Logically assigned","ID","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"94 - DON T KNOW","ID","0","0","0","0","0.003","0.0025","0","0.018","0","0.0004","0","0.002","1000","N/A","1000"
"97 - REFUSED","ID","0","0","0","0","0.003","0.0012","0.001","0.006","0.004","0.0019","0.002","0.01","6000","N/A","3000"
"98 - BLANK","ID","0","0","0","0","0.006","0.0029","0.002","0.015","0.004","0.0019","0.002","0.01","6000","N/A","3000"
"99 - LEGITIMATE SKIP","ID","0.002","0.0001","0.002","0.002","0.005","0.0003","0.005","0.006","0.394","0.0183","0.358","0.43","574000","N/A","37000"
"Overall","IL","0.039","0.0011","0.037","0.041","0.039","0.0011","0.037","0.041","1","0","N/A","N/A","10672000","N/A","299000"
"1 - Yes","IL","0.003","0.0002","0.003","0.003","0.041","0.0026","0.036","0.046","0.079","0.0051","0.07","0.09","844000","N/A","55000"
"2 - No","IL","0.02","0.0007","0.018","0.021","0.039","0.0014","0.037","0.042","0.506","0.0107","0.485","0.527","5405000","N/A","195000"
"85 - BAD DATA Logically assigned","IL","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"94 - DON T KNOW","IL","0","0","0","0","0.044","0.0331","0.01","0.177","0.001","0.0007","0","0.004","9000","N/A","7000"
"97 - REFUSED","IL","0","0.0001","0","0","0.034","0.0081","0.021","0.054","0.007","0.0018","0.005","0.012","79000","N/A","19000"
"98 - BLANK","IL","0","0","0","0","0.039","0.0118","0.022","0.07","0.004","0.0011","0.002","0.007","38000","N/A","12000"
"99 - LEGITIMATE SKIP","IL","0.016","0.0006","0.014","0.017","0.038","0.0015","0.035","0.041","0.403","0.0114","0.381","0.425","4297000","N/A","176000"
"Overall","IN","0.02","0.0008","0.019","0.022","0.02","0.0008","0.019","0.022","1","0","N/A","N/A","5586000","N/A","209000"
"1 - Yes","IN","0.001","0.0002","0.001","0.002","0.02","0.0024","0.016","0.025","0.073","0.0084","0.058","0.092","410000","N/A","50000"
"2 - No","IN","0.011","0.0005","0.01","0.012","0.022","0.0011","0.02","0.024","0.538","0.016","0.506","0.569","3005000","N/A","150000"
"85 - BAD DATA Logically assigned","IN","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"94 - DON T KNOW","IN","0","0","0","0","0.024","0.0128","0.008","0.067","0.001","0.0005","0","0.002","5000","N/A","3000"
"97 - REFUSED","IN","0","0","0","0","0.01","0.0049","0.004","0.026","0.004","0.002","0.002","0.011","24000","N/A","11000"
"98 - BLANK","IN","0","0","0","0","0.009","0.0062","0.002","0.034","0.002","0.0011","0","0.006","9000","N/A","6000"
"99 - LEGITIMATE SKIP","IN","0.008","0.0004","0.007","0.009","0.019","0.001","0.017","0.021","0.382","0.0164","0.35","0.414","2133000","N/A","115000"
"Overall","KS","0.009","0.0004","0.008","0.009","0.009","0.0004","0.008","0.009","1","0","N/A","N/A","2384000","N/A","103000"
"1 - Yes","KS","0.001","0.0001","0.001","0.001","0.009","0.0009","0.007","0.011","0.079","0.0082","0.065","0.097","189000","N/A","19000"
"2 - No","KS","0.005","0.0003","0.004","0.005","0.009","0.0006","0.008","0.01","0.539","0.019","0.501","0.576","1285000","N/A","77000"
"85 - BAD DATA Logically assigned","KS","0","0","0","0","0.105","0.0885","0.018","0.427","0.002","0.0021","0","0.013","6000","N/A","5000"
"94 - DON T KNOW","KS","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"97 - REFUSED","KS","0","0","0","0","0.006","0.0022","0.003","0.012","0.006","0.0021","0.003","0.012","13000","N/A","5000"
"98 - BLANK","KS","0","0","0","0","0.009","0.0053","0.003","0.028","0.004","0.0021","0.001","0.012","9000","N/A","5000"
"99 - LEGITIMATE SKIP","KS","0.003","0.0002","0.003","0.004","0.008","0.0005","0.007","0.009","0.37","0.0181","0.336","0.407","883000","N/A","56000"
"Overall","KY","0.014","0.0006","0.012","0.015","0.014","0.0006","0.012","0.015","1","0","N/A","N/A","3719000","N/A","168000"
"1 - Yes","KY","0.001","0.0001","0.001","0.001","0.01","0.001","0.008","0.012","0.056","0.0058","0.046","0.068","208000","N/A","21000"
"2 - No","KY","0.007","0.0004","0.006","0.007","0.013","0.0007","0.012","0.015","0.488","0.017","0.454","0.521","1814000","N/A","101000"
"85 - BAD DATA Logically assigned","KY","0","0","0","0","0.022","0.0164","0.005","0.091","0","0.0002","0","0.001","1000","N/A","1000"
"94 - DON T KNOW","KY","0","0","0","0","0","0.0003","0","0.002","0","0","0","0","0","N/A","0"
"97 - REFUSED","KY","0","0","0","0","0.005","0.0021","0.002","0.011","0.003","0.0013","0.001","0.007","11000","N/A","5000"
"98 - BLANK","KY","0","0","0","0","0.007","0.0028","0.003","0.015","0.002","0.0007","0.001","0.004","7000","N/A","3000"
"99 - LEGITIMATE SKIP","KY","0.006","0.0004","0.005","0.007","0.015","0.0009","0.013","0.017","0.451","0.0166","0.419","0.484","1679000","N/A","105000"
"Overall","LA","0.014","0.0007","0.013","0.015","0.014","0.0007","0.013","0.015","1","0","N/A","N/A","3821000","N/A","200000"
"1 - Yes","LA","0.001","0.0001","0.001","0.001","0.011","0.0013","0.009","0.014","0.058","0.0065","0.047","0.072","223000","N/A","26000"
"2 - No","LA","0.007","0.0004","0.006","0.007","0.013","0.0007","0.012","0.014","0.468","0.016","0.437","0.5","1788000","N/A","101000"
"85 - BAD DATA Logically assigned","LA","0","0","0","0","0.039","0.0385","0.005","0.235","0.001","0.0005","0","0.004","2000","N/A","2000"
"94 - DON T KNOW","LA","0","0","0","0","0.01","0.0096","0.001","0.066","0.001","0.0005","0","0.004","2000","N/A","2000"
"97 - REFUSED","LA","0","0","0","0","0.011","0.003","0.006","0.019","0.007","0.0019","0.004","0.012","26000","N/A","7000"
"98 - BLANK","LA","0","0","0","0","0.005","0.0026","0.002","0.014","0.001","0.0007","0","0.004","5000","N/A","3000"
"99 - LEGITIMATE SKIP","LA","0.006","0.0005","0.006","0.007","0.016","0.0011","0.014","0.018","0.465","0.0181","0.429","0.5","1775000","N/A","129000"
"Overall","MA","0.022","0.0008","0.02","0.023","0.022","0.0008","0.02","0.023","1","0","N/A","N/A","5947000","N/A","212000"
"1 - Yes","MA","0.002","0.0002","0.002","0.002","0.025","0.0024","0.021","0.03","0.087","0.0082","0.072","0.104","517000","N/A","50000"
"2 - No","MA","0.012","0.0005","0.011","0.013","0.023","0.001","0.021","0.025","0.538","0.0163","0.506","0.57","3202000","N/A","141000"
"85 - BAD DATA Logically assigned","MA","0","0","0","0","0.082","0.0783","0.012","0.407","0.001","0.0007","0","0.005","4000","N/A","4000"
"94 - DON T KNOW","MA","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"97 - REFUSED","MA","0","0.0001","0","0","0.027","0.0072","0.016","0.046","0.011","0.0028","0.006","0.018","64000","N/A","17000"
"98 - BLANK","MA","0","0","0","0","0.023","0.0104","0.009","0.055","0.004","0.0017","0.001","0.009","22000","N/A","10000"
"99 - LEGITIMATE SKIP","MA","0.008","0.0005","0.007","0.009","0.019","0.0012","0.017","0.022","0.36","0.017","0.327","0.394","2138000","N/A","137000"
"Overall","MD","0.018","0.0008","0.017","0.02","0.018","0.0008","0.017","0.02","1","0","N/A","N/A","5059000","N/A","209000"
"1 - Yes","MD","0.001","0.0001","0.001","0.001","0.015","0.0018","0.012","0.019","0.062","0.0071","0.049","0.077","313000","N/A","39000"
"2 - No","MD","0.01","0.0005","0.009","0.011","0.021","0.001","0.019","0.023","0.565","0.0167","0.532","0.597","2857000","N/A","138000"
"85 - BAD DATA Logically assigned","MD","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"94 - DON T KNOW","MD","0","0","0","0","0.017","0.0129","0.004","0.073","0.001","0.0005","0","0.003","3000","N/A","3000"
"97 - REFUSED","MD","0","0","0","0","0.006","0.0028","0.002","0.015","0.003","0.0013","0.001","0.007","13000","N/A","6000"
"98 - BLANK","MD","0","0","0","0","0.01","0.0049","0.004","0.026","0.002","0.0009","0.001","0.005","10000","N/A","5000"
"99 - LEGITIMATE SKIP","MD","0.007","0.0005","0.006","0.008","0.017","0.0011","0.015","0.019","0.368","0.0184","0.333","0.405","1863000","N/A","126000"
"Overall","ME","0.004","0.0002","0.004","0.005","0.004","0.0002","0.004","0.005","1","0","N/A","N/A","1166000","N/A","50000"
"1 - Yes","ME","0","0","0","0","0.004","0.0005","0.003","0.005","0.074","0.0077","0.06","0.091","86000","N/A","10000"
"2 - No","ME","0.002","0.0001","0.002","0.003","0.004","0.0003","0.004","0.005","0.53","0.0188","0.493","0.566","618000","N/A","36000"
"85 - BAD DATA Logically assigned","ME","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"94 - DON T KNOW","ME","0","0","0","0","0.004","0.0034","0.001","0.02","0.001","0.0006","0","0.003","1000","N/A","1000"
"97 - REFUSED","ME","0","0","0","0","0.004","0.0015","0.002","0.008","0.007","0.0028","0.003","0.016","8000","N/A","3000"
"98 - BLANK","ME","0","0","0","0","0.001","0.0009","0","0.005","0.001","0.0008","0","0.004","1000","N/A","1000"
"99 - LEGITIMATE SKIP","ME","0.002","0.0001","0.001","0.002","0.004","0.0002","0.004","0.005","0.387","0.0171","0.354","0.421","451000","N/A","26000"
"Overall","MI","0.031","0.0007","0.03","0.032","0.031","0.0007","0.03","0.032","1","0","N/A","N/A","8488000","N/A","201000"
"1 - Yes","MI","0.002","0.0001","0.002","0.003","0.031","0.002","0.027","0.035","0.076","0.0044","0.068","0.085","644000","N/A","41000"
