"RC-EDUCATION CATEGORIES","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"Overall","HI","0.004","0.0003","0.004","0.005","0.004","0.0003","0.004","0.005","1","0","N/A","N/A","1189000","N/A","82000"
"1 - Less high school","HI","0","0.0001","0","0","0.003","0.0006","0.002","0.005","0.068","0.0124","0.048","0.097","81000","N/A","15000"
"2 - High school grad","HI","0.001","0.0001","0.001","0.001","0.004","0.0004","0.004","0.005","0.257","0.0173","0.224","0.292","306000","N/A","31000"
"3 - Some coll/Assoc Dg","HI","0.001","0.0001","0.001","0.001","0.004","0.0004","0.004","0.005","0.285","0.0198","0.248","0.326","339000","N/A","33000"
"4 - College graduate","HI","0.001","0.0001","0.001","0.002","0.004","0.0005","0.003","0.005","0.308","0.0234","0.264","0.356","366000","N/A","40000"
"5 - 12 to 17 year olds","HI","0","0","0","0","0.004","0.0004","0.003","0.005","0.082","0.0084","0.066","0.1","97000","N/A","11000"
"Overall","IA","0.01","0.0006","0.008","0.011","0.01","0.0006","0.008","0.011","1","0","N/A","N/A","2693000","N/A","162000"
"1 - Less high school","IA","0.001","0.0001","0","0.001","0.006","0.0013","0.004","0.009","0.057","0.0106","0.039","0.082","153000","N/A","31000"
"2 - High school grad","IA","0.003","0.0002","0.002","0.003","0.011","0.0009","0.009","0.013","0.274","0.0187","0.239","0.313","739000","N/A","65000"
"3 - Some coll/Assoc Dg","IA","0.003","0.0003","0.002","0.004","0.011","0.001","0.009","0.013","0.311","0.0212","0.27","0.354","836000","N/A","76000"
"4 - College graduate","IA","0.002","0.0003","0.002","0.003","0.008","0.0009","0.007","0.01","0.262","0.0224","0.221","0.308","706000","N/A","75000"
"5 - 12 to 17 year olds","IA","0.001","0.0001","0.001","0.001","0.01","0.001","0.008","0.012","0.096","0.0079","0.082","0.113","258000","N/A","27000"
"Overall","ID","0.006","0.0004","0.005","0.007","0.006","0.0004","0.005","0.007","1","0","N/A","N/A","1633000","N/A","111000"
"1 - Less high school","ID","0","0.0001","0","0.001","0.005","0.0008","0.004","0.007","0.075","0.0103","0.057","0.098","122000","N/A","19000"
"2 - High school grad","ID","0.001","0.0002","0.001","0.002","0.006","0.0007","0.005","0.007","0.242","0.0177","0.209","0.278","395000","N/A","45000"
"3 - Some coll/Assoc Dg","ID","0.002","0.0001","0.002","0.002","0.007","0.0005","0.006","0.008","0.32","0.017","0.288","0.354","523000","N/A","42000"
"4 - College graduate","ID","0.001","0.0001","0.001","0.002","0.005","0.0004","0.004","0.006","0.259","0.0176","0.226","0.295","423000","N/A","34000"
"5 - 12 to 17 year olds","ID","0.001","0.0001","0","0.001","0.007","0.001","0.005","0.009","0.104","0.0123","0.082","0.131","170000","N/A","25000"
"Overall","IL","0.038","0.0019","0.034","0.042","0.038","0.0019","0.034","0.042","1","0","N/A","N/A","10679000","N/A","547000"
"1 - Less high school","IL","0.003","0.0004","0.002","0.004","0.035","0.0041","0.027","0.044","0.079","0.0081","0.065","0.097","845000","N/A","102000"
"2 - High school grad","IL","0.009","0.0007","0.007","0.01","0.036","0.0029","0.03","0.042","0.232","0.0126","0.208","0.258","2479000","N/A","208000"
"3 - Some coll/Assoc Dg","IL","0.01","0.0006","0.009","0.012","0.038","0.0023","0.033","0.042","0.273","0.0108","0.252","0.295","2913000","N/A","182000"
"4 - College graduate","IL","0.012","0.0007","0.011","0.014","0.04","0.0024","0.036","0.045","0.324","0.015","0.295","0.354","3457000","N/A","205000"
"5 - 12 to 17 year olds","IL","0.003","0.0003","0.003","0.004","0.038","0.003","0.033","0.044","0.092","0.0054","0.082","0.103","985000","N/A","78000"
"Overall","IN","0.02","0.0015","0.018","0.024","0.02","0.0015","0.018","0.024","1","0","N/A","N/A","5738000","N/A","435000"
"1 - Less high school","IN","0.002","0.0003","0.001","0.002","0.02","0.003","0.015","0.027","0.087","0.0096","0.069","0.107","497000","N/A","74000"
"2 - High school grad","IN","0.006","0.0007","0.005","0.008","0.025","0.0028","0.02","0.031","0.297","0.0203","0.259","0.339","1707000","N/A","200000"
"3 - Some coll/Assoc Dg","IN","0.006","0.0005","0.005","0.007","0.02","0.0018","0.017","0.024","0.273","0.0174","0.24","0.309","1567000","N/A","138000"
"4 - College graduate","IN","0.005","0.0005","0.004","0.006","0.016","0.0018","0.013","0.02","0.246","0.0237","0.202","0.295","1409000","N/A","151000"
"5 - 12 to 17 year olds","IN","0.002","0.0002","0.002","0.002","0.022","0.0024","0.017","0.027","0.097","0.0075","0.084","0.113","559000","N/A","61000"
"Overall","KS","0.009","0.0007","0.007","0.01","0.009","0.0007","0.007","0.01","1","0","N/A","N/A","2434000","N/A","207000"
"1 - Less high school","KS","0.001","0.0001","0","0.001","0.007","0.0015","0.004","0.011","0.07","0.0121","0.049","0.098","170000","N/A","38000"
"2 - High school grad","KS","0.002","0.0002","0.002","0.003","0.008","0.001","0.007","0.01","0.234","0.019","0.198","0.273","569000","N/A","67000"
"3 - Some coll/Assoc Dg","KS","0.003","0.0003","0.002","0.003","0.009","0.0011","0.007","0.012","0.3","0.0221","0.259","0.345","731000","N/A","88000"
"4 - College graduate","KS","0.003","0.0003","0.002","0.003","0.008","0.0009","0.007","0.01","0.295","0.0276","0.244","0.352","718000","N/A","80000"
"5 - 12 to 17 year olds","KS","0.001","0.0001","0.001","0.001","0.01","0.0011","0.008","0.012","0.101","0.0106","0.083","0.124","247000","N/A","30000"
"Overall","KY","0.013","0.0007","0.012","0.015","0.013","0.0007","0.012","0.015","1","0","N/A","N/A","3780000","N/A","200000"
"1 - Less high school","KY","0.001","0.0002","0.001","0.002","0.016","0.0022","0.012","0.021","0.101","0.0128","0.079","0.129","383000","N/A","53000"
"2 - High school grad","KY","0.004","0.0003","0.003","0.005","0.016","0.0012","0.014","0.019","0.302","0.019","0.266","0.34","1140000","N/A","84000"
"3 - Some coll/Assoc Dg","KY","0.004","0.0003","0.003","0.004","0.013","0.0011","0.011","0.016","0.269","0.0163","0.238","0.302","1017000","N/A","89000"
"4 - College graduate","KY","0.003","0.0003","0.003","0.004","0.01","0.0009","0.009","0.012","0.234","0.0156","0.205","0.266","886000","N/A","79000"
"5 - 12 to 17 year olds","KY","0.001","0.0001","0.001","0.001","0.014","0.0011","0.012","0.016","0.094","0.006","0.083","0.106","354000","N/A","27000"
"Overall","LA","0.013","0.0007","0.012","0.015","0.013","0.0007","0.012","0.015","1","0","N/A","N/A","3797000","N/A","208000"
"1 - Less high school","LA","0.002","0.0002","0.001","0.002","0.018","0.0025","0.013","0.023","0.114","0.0136","0.09","0.143","432000","N/A","61000"
"2 - High school grad","LA","0.004","0.0004","0.003","0.005","0.016","0.0016","0.014","0.02","0.299","0.0208","0.26","0.342","1136000","N/A","113000"
"3 - Some coll/Assoc Dg","LA","0.004","0.0002","0.003","0.004","0.013","0.0009","0.011","0.015","0.265","0.0189","0.23","0.304","1008000","N/A","68000"
"4 - College graduate","LA","0.003","0.0003","0.002","0.004","0.01","0.0011","0.008","0.012","0.224","0.0211","0.185","0.268","851000","N/A","93000"
"5 - 12 to 17 year olds","LA","0.001","0.0001","0.001","0.002","0.014","0.0012","0.012","0.017","0.097","0.0063","0.086","0.111","370000","N/A","31000"
"Overall","MA","0.021","0.0015","0.019","0.025","0.021","0.0015","0.019","0.025","1","0","N/A","N/A","6074000","N/A","436000"
"1 - Less high school","MA","0.002","0.0003","0.001","0.002","0.019","0.0039","0.012","0.028","0.074","0.0146","0.05","0.109","452000","N/A","97000"
"2 - High school grad","MA","0.005","0.0006","0.004","0.006","0.019","0.0026","0.015","0.025","0.218","0.0226","0.177","0.266","1326000","N/A","180000"
"3 - Some coll/Assoc Dg","MA","0.005","0.0005","0.004","0.006","0.018","0.0018","0.015","0.022","0.226","0.0165","0.196","0.26","1375000","N/A","142000"
"4 - College graduate","MA","0.009","0.0007","0.007","0.01","0.028","0.0024","0.024","0.034","0.402","0.027","0.35","0.456","2442000","N/A","207000"
"5 - 12 to 17 year olds","MA","0.002","0.0002","0.001","0.002","0.019","0.0026","0.014","0.025","0.079","0.0091","0.063","0.099","480000","N/A","69000"
"Overall","MD","0.018","0.0013","0.016","0.021","0.018","0.0013","0.016","0.021","1","0","N/A","N/A","5208000","N/A","376000"
"1 - Less high school","MD","0.001","0.0003","0.001","0.002","0.015","0.0031","0.01","0.023","0.071","0.0127","0.05","0.1","369000","N/A","78000"
"2 - High school grad","MD","0.004","0.0004","0.003","0.005","0.017","0.0015","0.014","0.02","0.222","0.0153","0.193","0.253","1156000","N/A","107000"
"3 - Some coll/Assoc Dg","MD","0.004","0.0005","0.004","0.005","0.016","0.0017","0.013","0.02","0.242","0.0194","0.206","0.282","1262000","N/A","135000"
"4 - College graduate","MD","0.007","0.0007","0.006","0.008","0.023","0.0022","0.019","0.028","0.373","0.0252","0.325","0.424","1944000","N/A","197000"
"5 - 12 to 17 year olds","MD","0.002","0.0001","0.001","0.002","0.018","0.0015","0.016","0.022","0.092","0.0064","0.08","0.105","477000","N/A","39000"
"Overall","ME","0.004","0.0004","0.004","0.005","0.004","0.0004","0.004","0.005","1","0","N/A","N/A","1217000","N/A","110000"
"1 - Less high school","ME","0","0.0001","0","0","0.003","0.0006","0.002","0.004","0.053","0.0103","0.036","0.078","65000","N/A","15000"
"2 - High school grad","ME","0.001","0.0001","0.001","0.001","0.005","0.0005","0.004","0.006","0.281","0.0175","0.248","0.316","342000","N/A","35000"
"3 - Some coll/Assoc Dg","ME","0.001","0.0001","0.001","0.001","0.004","0.0005","0.003","0.005","0.277","0.0165","0.246","0.311","337000","N/A","39000"
"4 - College graduate","ME","0.001","0.0001","0.001","0.002","0.004","0.0005","0.004","0.005","0.314","0.0184","0.279","0.351","382000","N/A","38000"
"5 - 12 to 17 year olds","ME","0","0","0","0","0.004","0.0004","0.003","0.004","0.075","0.005","0.065","0.085","91000","N/A","10000"
"Overall","MI","0.03","0.0013","0.028","0.033","0.03","0.0013","0.028","0.033","1","0","N/A","N/A","8581000","N/A","377000"
"1 - Less high school","MI","0.002","0.0002","0.002","0.003","0.026","0.0028","0.021","0.033","0.075","0.0068","0.063","0.09","644000","N/A","69000"
"2 - High school grad","MI","0.008","0.0006","0.007","0.009","0.033","0.0024","0.028","0.038","0.266","0.0123","0.243","0.291","2284000","N/A","173000"
"3 - Some coll/Assoc Dg","MI","0.009","0.0005","0.008","0.01","0.033","0.0018","0.03","0.037","0.302","0.0114","0.28","0.325","2590000","N/A","144000"
"4 - College graduate","MI","0.008","0.0004","0.007","0.009","0.027","0.0014","0.024","0.03","0.269","0.013","0.244","0.295","2308000","N/A","116000"
"5 - 12 to 17 year olds","MI","0.003","0.0002","0.002","0.003","0.029","0.0022","0.025","0.034","0.088","0.0053","0.078","0.099","756000","N/A","57000"
"Overall","MN","0.017","0.0013","0.015","0.02","0.017","0.0013","0.015","0.02","1","0","N/A","N/A","4833000","N/A","362000"
"1 - Less high school","MN","0.001","0.0002","0.001","0.001","0.011","0.0023","0.007","0.016","0.054","0.0112","0.036","0.081","263000","N/A","57000"
"2 - High school grad","MN","0.004","0.0005","0.003","0.005","0.015","0.002","0.012","0.02","0.217","0.0219","0.177","0.263","1050000","N/A","138000"
"3 - Some coll/Assoc Dg","MN","0.005","0.0005","0.004","0.006","0.019","0.0019","0.015","0.023","0.301","0.0172","0.268","0.335","1452000","N/A","149000"
"4 - College graduate","MN","0.006","0.0005","0.005","0.007","0.019","0.0017","0.016","0.022","0.333","0.0228","0.29","0.379","1609000","N/A","147000"
"5 - 12 to 17 year olds","MN","0.002","0.0002","0.001","0.002","0.018","0.0019","0.014","0.022","0.095","0.0081","0.08","0.112","459000","N/A","50000"
"Overall","MO","0.018","0.0013","0.016","0.021","0.018","0.0013","0.016","0.021","1","0","N/A","N/A","5211000","N/A","385000"
"1 - Less high school","MO","0.001","0.0003","0.001","0.002","0.016","0.0031","0.011","0.024","0.076","0.0116","0.056","0.102","395000","N/A","77000"
"2 - High school grad","MO","0.005","0.0006","0.004","0.006","0.021","0.0024","0.017","0.026","0.277","0.0207","0.238","0.32","1444000","N/A","166000"
"3 - Some coll/Assoc Dg","MO","0.005","0.0005","0.004","0.006","0.019","0.0019","0.016","0.023","0.283","0.0187","0.247","0.321","1473000","N/A","149000"
"4 - College graduate","MO","0.005","0.0004","0.004","0.006","0.017","0.0014","0.014","0.019","0.272","0.0217","0.231","0.316","1416000","N/A","117000"
"5 - 12 to 17 year olds","MO","0.002","0.0002","0.001","0.002","0.019","0.0019","0.015","0.023","0.093","0.0072","0.08","0.108","484000","N/A","51000"
"Overall","MS","0.009","0.0006","0.008","0.01","0.009","0.0006","0.008","0.01","1","0","N/A","N/A","2444000","N/A","157000"
"1 - Less high school","MS","0.001","0.0001","0.001","0.001","0.012","0.0017","0.009","0.015","0.116","0.0142","0.091","0.147","283000","N/A","41000"
"2 - High school grad","MS","0.002","0.0002","0.002","0.003","0.01","0.0007","0.008","0.011","0.275","0.0189","0.24","0.314","672000","N/A","49000"
"3 - Some coll/Assoc Dg","MS","0.003","0.0003","0.002","0.003","0.01","0.0009","0.008","0.012","0.304","0.0197","0.267","0.344","743000","N/A","72000"
"4 - College graduate","MS","0.002","0.0002","0.001","0.002","0.006","0.0006","0.005","0.007","0.204","0.0157","0.175","0.237","499000","N/A","54000"
"5 - 12 to 17 year olds","MS","0.001","0.0001","0.001","0.001","0.01","0.0011","0.008","0.012","0.101","0.0092","0.084","0.121","247000","N/A","29000"
"Overall","MT","0.003","0.0003","0.003","0.004","0.003","0.0003","0.003","0.004","1","0","N/A","N/A","961000","N/A","80000"
"1 - Less high school","MT","0","0","0","0","0.002","0.0004","0.001","0.003","0.055","0.01","0.039","0.079","53000","N/A","11000"
"2 - High school grad","MT","0.001","0.0001","0.001","0.001","0.004","0.0005","0.003","0.005","0.259","0.0272","0.21","0.316","249000","N/A","37000"
"3 - Some coll/Assoc Dg","MT","0.001","0.0001","0.001","0.001","0.004","0.0004","0.003","0.005","0.298","0.0209","0.259","0.34","286000","N/A","29000"
"4 - College graduate","MT","0.001","0.0001","0.001","0.001","0.003","0.0003","0.003","0.004","0.3","0.0206","0.261","0.342","289000","N/A","27000"
"5 - 12 to 17 year olds","MT","0","0","0","0","0.003","0.0004","0.003","0.004","0.087","0.0064","0.075","0.1","84000","N/A","10000"
"Overall","NC","0.032","0.002","0.028","0.036","0.032","0.002","0.028","0.036","1","0","N/A","N/A","9074000","N/A","578000"
"1 - Less high school","NC","0.003","0.0004","0.002","0.004","0.032","0.0049","0.023","0.043","0.086","0.0112","0.066","0.11","777000","N/A","123000"
"2 - High school grad","NC","0.008","0.0009","0.006","0.009","0.031","0.0035","0.025","0.039","0.236","0.0189","0.201","0.275","2143000","N/A","246000"
"3 - Some coll/Assoc Dg","NC","0.009","0.0008","0.008","0.011","0.033","0.0028","0.028","0.039","0.284","0.0184","0.249","0.322","2578000","N/A","222000"
"4 - College graduate","NC","0.01","0.0009","0.008","0.012","0.032","0.0029","0.027","0.038","0.303","0.0245","0.257","0.353","2750000","N/A","251000"
"5 - 12 to 17 year olds","NC","0.003","0.0003","0.002","0.004","0.032","0.0031","0.026","0.039","0.091","0.0071","0.078","0.106","825000","N/A","81000"
"Overall","ND","0.002","0.0002","0.002","0.003","0.002","0.0002","0.002","0.003","1","0","N/A","N/A","641000","N/A","59000"
"1 - Less high school","ND","0","0","0","0","0.001","0.0004","0.001","0.002","0.055","0.0118","0.036","0.083","35000","N/A","9000"
"2 - High school grad","ND","0.001","0.0001","0","0.001","0.002","0.0002","0.002","0.003","0.233","0.0211","0.194","0.277","150000","N/A","17000"
"3 - Some coll/Assoc Dg","ND","0.001","0.0001","0.001","0.001","0.003","0.0003","0.002","0.004","0.35","0.0243","0.304","0.399","224000","N/A","27000"
"4 - College graduate","ND","0.001","0.0001","0","0.001","0.002","0.0002","0.002","0.003","0.268","0.0241","0.224","0.318","172000","N/A","21000"
"5 - 12 to 17 year olds","ND","0","0","0","0","0.002","0.0004","0.002","0.003","0.094","0.0114","0.074","0.119","60000","N/A","10000"
"Overall","NE","0.006","0.0004","0.005","0.007","0.006","0.0004","0.005","0.007","1","0","N/A","N/A","1635000","N/A","102000"
"1 - Less high school","NE","0","0.0001","0","0.001","0.004","0.001","0.003","0.007","0.062","0.0134","0.041","0.094","102000","N/A","24000"
"2 - High school grad","NE","0.001","0.0001","0.001","0.002","0.005","0.0005","0.004","0.007","0.23","0.0166","0.199","0.265","376000","N/A","37000"
"3 - Some coll/Assoc Dg","NE","0.002","0.0001","0.002","0.002","0.007","0.0005","0.006","0.008","0.311","0.0155","0.282","0.343","509000","N/A","40000"
"4 - College graduate","NE","0.002","0.0002","0.001","0.002","0.006","0.0005","0.005","0.007","0.294","0.0216","0.253","0.338","480000","N/A","44000"
"5 - 12 to 17 year olds","NE","0.001","0.0001","0","0.001","0.006","0.0007","0.005","0.008","0.102","0.0095","0.085","0.122","167000","N/A","19000"
"Overall","NH","0.004","0.0003","0.004","0.005","0.004","0.0003","0.004","0.005","1","0","N/A","N/A","1225000","N/A","74000"
"1 - Less high school","NH","0","0","0","0","0.003","0.0005","0.002","0.004","0.053","0.0095","0.037","0.075","65000","N/A","12000"
"2 - High school grad","NH","0.001","0.0001","0.001","0.001","0.005","0.0005","0.004","0.006","0.256","0.0208","0.217","0.299","314000","N/A","35000"
"3 - Some coll/Assoc Dg","NH","0.001","0.0001","0.001","0.001","0.004","0.0003","0.004","0.005","0.264","0.016","0.234","0.297","324000","N/A","25000"
"4 - College graduate","NH","0.002","0.0001","0.001","0.002","0.005","0.0004","0.004","0.006","0.351","0.0187","0.315","0.388","430000","N/A","34000"
"5 - 12 to 17 year olds","NH","0","0","0","0","0.004","0.0004","0.003","0.004","0.076","0.0066","0.064","0.09","93000","N/A","9000"
"Overall","NJ","0.028","0.0013","0.026","0.031","0.028","0.0013","0.026","0.031","1","0","N/A","N/A","7902000","N/A","366000"
"1 - Less high school","NJ","0.002","0.0004","0.001","0.003","0.023","0.0043","0.016","0.033","0.072","0.0126","0.051","0.101","573000","N/A","105000"
"2 - High school grad","NJ","0.006","0.0005","0.006","0.008","0.026","0.0022","0.022","0.031","0.232","0.0156","0.203","0.264","1832000","N/A","153000"
"3 - Some coll/Assoc Dg","NJ","0.006","0.0004","0.005","0.007","0.023","0.0016","0.02","0.026","0.225","0.0133","0.2","0.252","1777000","N/A","124000"
"4 - College graduate","NJ","0.011","0.0007","0.009","0.012","0.035","0.0024","0.031","0.04","0.381","0.0204","0.342","0.422","3009000","N/A","210000"
"5 - 12 to 17 year olds","NJ","0.003","0.0002","0.002","0.003","0.028","0.0026","0.023","0.033","0.09","0.007","0.077","0.105","711000","N/A","67000"
"Overall","NM","0.006","0.0004","0.006","0.007","0.006","0.0004","0.006","0.007","1","0","N/A","N/A","1794000","N/A","109000"
"1 - Less high school","NM","0.001","0.0001","0","0.001","0.007","0.001","0.005","0.009","0.097","0.0109","0.077","0.12","174000","N/A","24000"
"2 - High school grad","NM","0.002","0.0001","0.001","0.002","0.006","0.0006","0.005","0.008","0.245","0.0183","0.211","0.283","439000","N/A","40000"
"3 - Some coll/Assoc Dg","NM","0.002","0.0002","0.002","0.002","0.007","0.0006","0.006","0.008","0.295","0.0184","0.26","0.332","528000","N/A","49000"
"4 - College graduate","NM","0.002","0.0001","0.001","0.002","0.006","0.0005","0.005","0.007","0.269","0.0176","0.236","0.305","483000","N/A","42000"
"5 - 12 to 17 year olds","NM","0.001","0.0001","0","0.001","0.007","0.0007","0.005","0.008","0.094","0.0088","0.078","0.113","169000","N/A","19000"
"Overall","NV","0.01","0.0006","0.008","0.011","0.01","0.0006","0.008","0.011","1","0","N/A","N/A","2709000","N/A","176000"
"1 - Less high school","NV","0.001","0.0001","0.001","0.001","0.011","0.0013","0.008","0.014","0.097","0.0112","0.077","0.122","264000","N/A","32000"
"2 - High school grad","NV","0.003","0.0002","0.002","0.003","0.01","0.001","0.009","0.012","0.266","0.0177","0.233","0.303","722000","N/A","67000"
"3 - Some coll/Assoc Dg","NV","0.003","0.0003","0.002","0.004","0.011","0.001","0.009","0.013","0.303","0.0185","0.267","0.34","820000","N/A","81000"
"4 - College graduate","NV","0.002","0.0002","0.002","0.003","0.008","0.0008","0.006","0.009","0.243","0.021","0.204","0.287","659000","N/A","69000"
